6MTN,cho_byil_1920-1921_0001_000_0000,"The British Yearbook of International Law, vol. 1. 1920-21"
6MTO,cho_byil_1921_0002_000_0000,"The British Yearbook of International Law, vol. 2. 1921"
6MTP,cho_byil_1922_0003_000_0000,"The British Yearbook of International Law, vol. 3. 1922"
6MTQ,cho_byil_1923_0004_000_0000,"The British Yearbook of International Law, vol. 4. 1923"
6MTR,cho_byil_1924_0005_000_0000,"The British Yearbook of International Law, vol. 5. 1924"
6MTS,cho_byil_1925_0006_000_0000,"The British Yearbook of International Law, vol. 6. 1925"
6MTT,cho_byil_1926_0007_000_0000,"The British Yearbook of International Law, vol. 7. 1926"
6MTU,cho_byil_1927_0008_000_0000,"The British Yearbook of International Law, vol. 8. 1927"
6MTV,cho_byil_1928_0009_000_0000,"The British Yearbook of International Law, vol. 9. 1928"
6MTW,cho_byil_1929_0010_000_0000,"The British Yearbook of International Law, vol. 10. 1929"
6MTX,cho_byil_1930_0011_000_0000,"The British Yearbook of International Law, vol. 11. 1930"
6MTY,cho_byil_1931_0012_000_0000,"The British Yearbook of International Law, vol. 12. 1931"
6MTZ,cho_byil_1932_0013_000_0000,"The British Yearbook of International Law, vol. 13. 1932"
6MUA,cho_byil_1933_0014_000_0000,"The British Yearbook of International Law, vol. 14. 1933"
6MUB,cho_byil_1934_0015_000_0000,"The British Yearbook of International Law, vol. 15. 1934"
6MUC,cho_byil_1935_0016_000_0000,"The British Yearbook of International Law, vol. 16. 1935"
6MUD,cho_byil_1936_0017_000_0000,"The British Yearbook of International Law, vol. 17. 1936"
6MUE,cho_byil_1937_0018_000_0000,"The British Yearbook of International Law, vol. 18. 1937"
6MUF,cho_byil_1938_0019_000_0000,"The British Yearbook of International Law, vol. 19. 1938"
6MUG,cho_byil_1939_0020_000_0000,"The British Yearbook of International Law, vol. 20. 1939"
6MUH,cho_byil_1944_0021_000_0000,"The British Yearbook of International Law, vol. 21. 1944"
6MUI,cho_byil_1945_0022_000_0000,"The British Yearbook of International Law, vol. 22. 1945"
6MUJ,cho_byil_1946_0023_000_0000,"The British Yearbook of International Law, vol. 23. 1946"
6MUK,cho_byil_1947_0024_000_0000,"The British Yearbook of International Law, vol. 24. 1947"
6MUL,cho_byil_1948_0025_000_0000,"The British Yearbook of International Law, vol. 25. 1948"
6MUM,cho_byil_1949_0026_000_0000,"The British Yearbook of International Law, vol. 26. 1949"
6MUN,cho_byil_1950_0027_000_0000,"The British Yearbook of International Law, vol. 27. 1950"
6MUO,cho_byil_1951_0028_000_0000,"The British Yearbook of International Law, vol. 28. 1951"
6MUP,cho_byil_1952_0029_000_0000,"The British Yearbook of International Law, vol. 29. 1952"
6MUQ,cho_byil_1953_0030_000_0000,"The British Yearbook of International Law, vol. 30. 1953"
6MUR,cho_byil_1954_0031_000_0000,"The British Yearbook of International Law, vol. 31. 1954"
6MUS,cho_byil_1955-1956_0032_000_0000,"The British Yearbook of International Law, vol. 32. 1955-1956"
6MUT,cho_byil_1957_0033_000_0000,"The British Yearbook of International Law, vol. 33. 1957"
6MUU,cho_byil_1958_0034_000_0000,"The British Yearbook of International Law, vol. 34. 1958"
6MUV,cho_byil_1959_0035_000_0000,"The British Yearbook of International Law, vol. 35. 1959"
6MUW,cho_byil_1960_0036_000_0000,"The British Yearbook of International Law, vol. 36. 1960"
6MUX,cho_byil_1961_0037_000_0000,"The British Yearbook of International Law, vol. 37. 1961"
6MUY,cho_byil_1962_0038_000_0000,"The British Yearbook of International Law, vol. 38. 1962"
6MUZ,cho_byil_1963_0039_000_0000,"The British Yearbook of International Law, vol. 39. 1963"
6MVA,cho_byil_1964_0040_000_0000,"The British Yearbook of International Law, vol. 40. 1964"
6MVB,cho_byil_1965_0041_000_0000,"The British Yearbook of International Law, vol. 41. 1965 - 1966"
6MVC,cho_byil_1967_0042_000_0000,"The British Yearbook of International Law, vol. 43. 1967"
6MVD,cho_byil_1968_0044_000_0000,"The British Yearbook of International Law, vol. 44. 1968"
6MVE,cho_byil_1969_0045_000_0000,"The British Yearbook of International Law, vol. 45. 1969"
6MVF,cho_byil_1970_0046_000_0000,"The British Yearbook of International Law, vol. 46. 1970"
6MVG,cho_byil_1963_0000_000_0000,The British Yearbook of international law: index to volumes I-XXXVI 
