4XEC,cho_rsxx_1937-1938_0001_000_0000,"Refugee Survey, vol. 1: Special Reports: Russian Refugees"
4XEN,cho_rsxx_1937-1938_0010_000_0000,"Refugee Survey, vol. 10: Special Reports: Countries of Refuge: Far East"
4XEO,cho_rsxx_1937-1938_0011_000_0000,"Refugee Survey, vol. 11: Special Reports: Statistics and Private Organisations"
4XED,cho_rsxx_1937-1938_0002_000_0000,"Refugee Survey, vol. 2: Special Reports: Russian Refugees"
4XEE,cho_rsxx_1937-1938_0003_000_0000,"Refugee Survey, vol. 3: Special Reports: German Refugees"
4XEG,cho_rsxx_1937-1938_0004_000_0000,"Refugee Survey, vol. 4: Special Reports: Italian and Portuguese Refugees"
4XEH,cho_rsxx_1937-1938_0005_000_0000,"Refugee Survey, vol. 5: Special Reports: Law 1"
4XEJ,cho_rsxx_1937-1938_0006_000_0000,"Refugee Survey, vol. 6: Special Reports: Law 2"
4XEK,cho_rsxx_1937-1938_0007_000_0000,"Refugee Survey, vol. 7: Special Reports: Countries of Refuge 1"
4XEL,cho_rsxx_1937-1938_0008_000_0000,"Refugee Survey, vol. 8: Special Reports: Countries of Refuge 2"
4XEM,cho_rsxx_1937-1938_0009_000_0000,"Refugee Survey, vol. 9: Special Reports: Countries of Refuge: United States and South America (Colombia)"
6MAR,cho_rsxx_1939_simpson_001_0000,Refugees: a review of the situation since September 1938
6MAQ,cho_rsxx_1938_simpson_000_0000,Refugees: preliminary report of a survey
6MAS,cho_rsxx_1939_simpson_002_0000,The refugee problem: report of a survey
