asset_id|mercury_article_id
ADUPJF493892111|338054317
AKSSKR140401517|338054408
BSYFWU519927908|338054401
BZWFER720973328|338054204
CPDQQQ731074638|338054183
FINXEL622890065|338054290
GBAARK973270316|338054419
GIYYQG450291677|338054282
GZXWDI605695684|338054197
KXOVPI508635377|338054176
LAPGFB303935868|338054405
MCHLSN607675639|338054138
MCQOJY537033843|338054287
MZWEDR020362098|338054413
NVNXDD994420235|338054398
QPOQMT869793498|338054120
RKLVLG119233421|338054147
VRXDIT791059265|338054273
WVTRLX493400370|338054400
XAFPXP114987598|338054426
XXRDFG395824509|338054145
ZRDGTA474981513|338054244
FVBIRV493917196|338054164
HENPJR594738724|338054172
LOEVYV556649294|338054352
OFQKOJ010787697|338054152
XGSYXA419360529|338054165
